STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,19.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,20.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,60.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,63.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,64.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,68.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,69.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,70.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,8.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,49.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,49.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,53.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,53.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,54.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,55.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,2.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,3.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,3.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,3.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,3.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,3.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,2.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,2.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,2.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,2.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,2.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,2.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,0.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,0.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,0.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,0.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,0.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,65.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,62.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,59.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,56.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,52.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,49.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,3.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,2.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,1.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,1.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,2.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,1.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
