"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","279800","","","","0"
"1947","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","175400","","","","0"
"1948","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","322500","","","","0"
"1949","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","355000","","","","0"
"1950","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","357900","","","","0"
"1951","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","403800","","","","0"
"1952","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","538000","","","","0"
"1953","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","586400","","","","0"
"1954","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","631900","","","","0"
"1955","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","902800","","","","0"
"1956","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","706500","","","","0"
"1957","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","750100","","","","0"
"1958","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","756400","","","","0"
"1959","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","784800","","","","0"
"1960","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","662500","","","","0"
"1961","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","742100","","","","0"
"1962","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","848400","","","","0"
"1963","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","919600","","","","0"
"1964","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","1342200","","","","0"
"1965","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","1511800","","","","0"
"1966","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","1685600","","","","0"
"1967","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","1882800","","","","0"
"1968","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2076800","","","","0"
"1969","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","1883200","","","","0"
"1970","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2633800","","","","0"
"1971","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2941500","","","","0"
"1972","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2566800","","","","0"
"1973","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2879700","","","","0"
"1974","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","2620100","","","","0"
"1975","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","3644700","","","","0"
"1976","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","3759200","","","","0"
"1977","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","4248800","","","","0"
"1978","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","4479800","","","","0"
"1979","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","5276100","","","","0"
"1980","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","5753200","","","","0"
"1981","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6682600","","","","0"
"1982","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6522300","","","","0"
"1983","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","5930800","","","","0"
"1984","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6777500","","","","0"
"1985","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6969900","","","","0"
"1986","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","5911700","","","","0"
"1987","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7064700","","","","0"
"1988","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","5449500","","","","0"
"1989","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6570900","","","","0"
"1990","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7066600","","","","0"
"1991","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7412500","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","4882600","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6755200","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7189900","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7280900","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7541700","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","7179800","","","","0"
"1998","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","8952400","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","9161300","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","6953700","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","8389200","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","8998800","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","9587300","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","8836800","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","9332200","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","8989800","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","11648700","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","10642800","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","9796200","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","12043300","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","11358700","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13060100","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","14190700","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","11606400","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13679500","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13889000","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","14095500","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13884800","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13403900","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","13563300","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","14610792","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","14538878","","","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","15420909","","r","","0"
"2024","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","15344938","","","","0"
"2025","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","15552530","","","","0"
"1908","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1933","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1934","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1935","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1936","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1937","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1938","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1939","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1940","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1941","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1942","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1943","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1944","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1945","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1946","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1947","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1948","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1949","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1950","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1951","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1952","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1953","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1954","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1955","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1956","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1957","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1958","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1959","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1960","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1961","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1962","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1963","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1964","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1965","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1966","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1967","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1968","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1969","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1970","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1971","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1972","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1973","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1974","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1975","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1976","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1977","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1978","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1979","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1980","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","","..","","","0"
"1981","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","55700","","","","0"
"1982","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","90200","","","","0"
"1983","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","57400","","","","0"
"1984","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","38900","","","","0"
"1985","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","62400","","","","0"
"1986","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","170500","","","","0"
"1987","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","286500","","","","0"
"1988","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","58600","","","","0"
"1989","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","96200","","","","0"
"1990","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","213200","","","","0"
"1991","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","342800","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","349000","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","348700","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","450400","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","431900","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","402500","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","378800","","","","0"
