asap0_id;name0_shr;asap1_id;name1_shr;crop_name;sos_s;sos_e;eos_s;eos_e,
51;Madagascar;2070;Vakinankaratra;Rice;30;33;16;20,
51;Madagascar;2072;Sofia;Rice;32;35;16;22,
52;El Salvador;676;El Salvador;Beans (Main);11;13;20;24,
52;El Salvador;676;El Salvador;Beans (Second);23;26;34;36,
52;El Salvador;676;El Salvador;Maize (Main);12;17;22;24,
52;El Salvador;676;El Salvador;Maize (Second);24;27;1;3,
59;Mali;439;Segou;Maize;16;21;29;33,
59;Mali;439;Segou;Millet;16;21;29;33,
59;Mali;439;Segou;Rice (Rainfed);16;21;33;3,
59;Mali;439;Segou;Sorghum;16;21;29;33,
59;Mali;441;Sikasso;Maize;10;19;31;34,
59;Mali;441;Sikasso;Millet;10;19;31;34,
59;Mali;441;Sikasso;Rice (Rainfed);16;19;33;36,
59;Mali;441;Sikasso;Sorghum;10;19;31;34,
59;Mali;1352;Kayes;Maize;15;20;30;33,
59;Mali;1352;Kayes;Millet;15;20;30;33,
59;Mali;1352;Kayes;Rice (Rainfed);15;20;33;36,
59;Mali;1352;Kayes;Sorghum;15;20;30;33,
59;Mali;1353;Koulikoro;Maize;13;19;29;33,
59;Mali;1353;Koulikoro;Millet;13;19;29;33,
59;Mali;1353;Koulikoro;Rice (Rainfed);13;19;33;36,
59;Mali;1353;Koulikoro;Sorghum;13;19;29;33,
61;Central Africa;77;Ouham Pendé;Cassava;8;12;32;35,
61;Central Africa;171;Ouaka;Cassava;7;9;34;36,
61;Central Africa;172;Ouham;Cassava;7;12;33;36,
61;Central Africa;471;Vakaga;Cassava;14;17;32;34,
61;Central Africa;883;Mambéré-Kadéï;Cassava;7;9;34;36,
61;Central Africa;891;Basse-Kotto;Cassava;7;9;34;36,
61;Central Africa;894;Kémo;Cassava;7;9;35;36,
61;Central Africa;897;Nana-Mambéré;Cassava;7;9;33;36,
66;Ghana;46;Eastern;Cassava (Year1, year2);5;9;18;23
66;Ghana;46;Eastern;Maize (Second);24;27;34;1,
66;Ghana;46;Eastern;Maize (South/Main);6;9;22;23,
66;Ghana;46;Eastern;Yams;6;9;22;23,
66;Ghana;106;Upper West;Millet;13;16;31;33,
66;Ghana;106;Upper West;Rice (North);13;16;31;33,
66;Ghana;106;Upper West;Sorghum;13;16;31;33,
66;Ghana;1056;Ashanti;Cassava (Year1, year2);5;9;18;22
66;Ghana;1056;Ashanti;Maize (Second);24;27;35;1,
66;Ghana;1059;Central;Cassava (Year1, year2);4;9;16;23
66;Ghana;1059;Central;Maize (Second);24;27;34;1,
66;Ghana;1059;Central;Maize (South/Main);7;9;21;23,
66;Ghana;1059;Central;Yams;4;9;22;23,
66;Ghana;1063;Volta;Cassava (Year1, year2);6;10;18;23
66;Ghana;1063;Volta;Maize (Second);23;28;34;1,
66;Ghana;1063;Volta;Maize (South/Main);6;10;22;23,
66;Ghana;1063;Volta;Yams;6;10;22;23,
66;Ghana;1066;Brong Ahafo;Cassava (Year1, year2);6;9;19;21
66;Ghana;1066;Brong Ahafo;Maize (Second);23;26;34;1,
66;Ghana;1067;West;Cassava (Year1, year2);4;10;15;22
66;Ghana;1067;West;Maize (Second);24;28;34;2,
66;Ghana;1067;West;Maize (South/Main);7;10;20;22,
66;Ghana;1067;West;Yams;4;10;20;22,
66;Ghana;1079;Greater Accra;Cassava (Year1, year2);6;10;19;24
66;Ghana;1079;Greater Accra;Maize (Second);24;28;35;1,
66;Ghana;1079;Greater Accra;Maize (South/Main);7;10;22;24,
66;Ghana;1081;Northern;Cassava (Year1, year2);6;10;19;21
66;Ghana;1081;Northern;Maize (Second);23;25;33;36,
66;Ghana;1081;Northern;Millet;13;15;32;33,
66;Ghana;1081;Northern;Rice (North);13;15;32;36,
66;Ghana;1081;Northern;Sorghum;13;15;32;33,
66;Ghana;1082;Upper East;Millet;12;17;31;34,
66;Ghana;1082;Upper East;Rice (North);12;17;31;34,
66;Ghana;1082;Upper East;Sorghum;12;17;31;34,
67;Afghanistan;27;Paktika;Rice;20;21;28;29,
67;Afghanistan;27;Paktika;Wheat (Spring);6;7;20;27,
67;Afghanistan;45;Paktya;Rice;19;21;28;29,
67;Afghanistan;45;Paktya;Wheat (Spring);6;7;20;27,
67;Afghanistan;101;Logar;Rice;22;23;32;35,
67;Afghanistan;101;Logar;Wheat (Spring);6;7;20;27,
67;Afghanistan;116;Nangarhar;Rice;16;20;27;33,
67;Afghanistan;180;Takhar;Rice;18;21;27;32,
67;Afghanistan;180;Takhar;Wheat (Spring);6;7;20;27,
67;Afghanistan;266;Balkh;Rice;18;20;28;34,
67;Afghanistan;266;Balkh;Wheat (Spring);5;6;22;29,
67;Afghanistan;273;Farah;Wheat (Spring);4;6;19;22,
67;Afghanistan;274;Faryab;Wheat (Spring);5;7;22;29,
67;Afghanistan;278;Ghazni;Wheat (Spring);6;7;21;29,
67;Afghanistan;281;Kandahar;Rice;19;20;30;32,
67;Afghanistan;281;Kandahar;Wheat (Spring);6;7;20;29,
67;Afghanistan;282;Hirat;Wheat (Spring);5;9;21;29,
67;Afghanistan;283;Jawzjan;Rice;18;20;27;31,
67;Afghanistan;284;Kabul;Wheat (Spring);5;7;22;27,
67;Afghanistan;286;Samangan;Wheat (Spring);5;7;20;27,
67;Afghanistan;287;Sar-e-Pul;Wheat (Spring);5;7;22;27,
67;Afghanistan;288;Zabul;Wheat (Spring);6;7;22;27,
67;Afghanistan;343;Badghis;Wheat (Spring);5;6;20;26,
67;Afghanistan;357;Parwan;Rice;20;21;29;33,
67;Afghanistan;357;Parwan;Wheat (Spring);5;6;22;29,
67;Afghanistan;402;Hilmand;Rice;18;21;27;32,
67;Afghanistan;402;Hilmand;Wheat (Spring);4;5;22;29,
67;Afghanistan;696;Baghlan;Rice;18;21;27;31,
67;Afghanistan;696;Baghlan;Wheat (Spring);6;8;22;29,
67;Afghanistan;703;Badakhshan;Wheat (Spring);6;8;22;27,
67;Afghanistan;705;Kapisa;Rice;20;21;28;32,
67;Afghanistan;705;Kapisa;Wheat (Spring);6;7;26;29,
67;Afghanistan;707;Khost;Rice;19;20;26;30,
67;Afghanistan;708;Kunar;Rice;19;20;27;33,
67;Afghanistan;709;Kunduz;Rice;18;20;27;31,
67;Afghanistan;710;Laghman;Rice;19;20;28;32,
67;Afghanistan;712;Nimroz;Wheat (Spring);8;9;20;26,
67;Afghanistan;1863;Uruzgan;Rice;19;21;28;32,
67;Afghanistan;1863;Uruzgan;Wheat (Spring);6;7;20;29,
67;Afghanistan;2339;Daykundi;Rice;19;20;27;29,
68;Haiti;10071;South;Beans (Main);8;12;17;21,
68;Haiti;10071;South;Maize (Main);8;12;17;21,
68;Haiti;10071;South;Maize (Second);8;12;17;21,
68;Haiti;10071;South;Rice (Main);8;12;17;21,
68;Haiti;10071;South;Rice (Second);22;25;32;36,
68;Haiti;10071;South;Sorghum;22;26;1;5,
68;Haiti;10072;Transversal;Maize (Main);10;13;18;21,
68;Haiti;10072;Transversal;Rice (Main);10;13;18;21,
68;Haiti;10072;Transversal;Sorghum;23;26;36;7,
68;Haiti;10073;North;Maize (Main);10;13;18;21,
68;Haiti;10073;North;Rice (Main);10;13;18;21,
68;Haiti;10073;North;Sorghum;23;25;1;6,
68;Haiti;10074;West;Beans (Main);8;12;16;19,
68;Haiti;10074;West;Maize (Main);8;12;16;19,
68;Haiti;10074;West;Maize (Second);8;12;16;19,
68;Haiti;10074;West;Rice (Main);8;12;16;19,
68;Haiti;10074;West;Sorghum;21;26;1;4,
74;Tanzania;166;Kilimanjaro;Maize (Maika/Bimodal);7;11;17;24,
74;Tanzania;166;Kilimanjaro;Maize (Vuli/Bimodal);28;31;1;5,
74;Tanzania;166;Kilimanjaro;Millet (Maika/Bimodal);7;11;17;24,
74;Tanzania;166;Kilimanjaro;Sorghum (Maika/Bimodal);7;11;17;24,
74;Tanzania;625;Lindi;Maize (Maimu/Unimodal);30;35;18;20,
74;Tanzania;625;Lindi;Rice (Msimu/Unimodal);34;35;18;20,
74;Tanzania;625;Lindi;Sorghum (Maimu/Unimodal);30;35;18;20,
74;Tanzania;1766;Dodoma;Maize (Maimu/Unimodal);31;36;13;20,
74;Tanzania;1766;Dodoma;Rice (Msimu/Unimodal);34;36;13;20,
74;Tanzania;1766;Dodoma;Sorghum (Maimu/Unimodal);31;36;13;20,
74;Tanzania;1928;Geita;Maize (Maika/Bimodal);6;9;17;20,
74;Tanzania;1928;Geita;Maize (Maimu/Unimodal);30;32;17;19,
74;Tanzania;1928;Geita;Maize (Vuli/Bimodal);26;30;1;4,
74;Tanzania;1928;Geita;Millet (Maika/Bimodal);6;9;17;20,
74;Tanzania;1928;Geita;Sorghum (Maika/Bimodal);6;9;17;20,
74;Tanzania;1928;Geita;Sorghum (Maimu/Unimodal);30;32;17;19,
74;Tanzania;1939;Iringa;Maize (Maimu/Unimodal);31;36;14;20,
74;Tanzania;1939;Iringa;Rice (Msimu/Unimodal);34;36;14;20,
74;Tanzania;1939;Iringa;Sorghum (Maimu/Unimodal);31;36;14;20,
74;Tanzania;1969;Kagera;Maize (Maika/Bimodal);6;10;17;20,
74;Tanzania;1969;Kagera;Maize (Vuli/Bimodal);25;29;1;4,
74;Tanzania;1969;Kagera;Millet (Maika/Bimodal);6;10;17;20,
74;Tanzania;1969;Kagera;Sorghum (Maika/Bimodal);6;10;17;20,
74;Tanzania;2250;Manyara;Maize (Maika/Bimodal);6;9;17;22,
74;Tanzania;2250;Manyara;Maize (Maimu/Unimodal);31;36;16;20,
74;Tanzania;2250;Manyara;Maize (Vuli/Bimodal);29;32;1;5,
74;Tanzania;2250;Manyara;Millet (Maika/Bimodal);6;9;17;22,
74;Tanzania;2250;Manyara;Rice (Msimu/Unimodal);34;36;16;20,
74;Tanzania;2250;Manyara;Sorghum (Maika/Bimodal);6;9;17;22,
74;Tanzania;2250;Manyara;Sorghum (Maimu/Unimodal);31;36;16;20,
74;Tanzania;2252;Mtwara;Maize (Maimu/Unimodal);32;36;18;20,
74;Tanzania;2252;Mtwara;Rice (Msimu/Unimodal);34;36;18;20,
74;Tanzania;2252;Mtwara;Sorghum (Maimu/Unimodal);32;36;18;20,
74;Tanzania;2254;Singida;Maize (Maimu/Unimodal);30;36;14;19,
74;Tanzania;2254;Singida;Rice (Msimu/Unimodal);34;36;14;19,
74;Tanzania;2254;Singida;Sorghum (Maimu/Unimodal);30;36;14;19,
74;Tanzania;2260;Kigoma;Maize (Maika/Bimodal);7;9;17;19,
74;Tanzania;2260;Kigoma;Maize (Maimu/Unimodal);30;31;16;20,
74;Tanzania;2260;Kigoma;Maize (Vuli/Bimodal);26;30;3;5,
74;Tanzania;2260;Kigoma;Millet (Maika/Bimodal);7;9;17;19,
74;Tanzania;2260;Kigoma;Sorghum (Maika/Bimodal);7;9;17;19,
74;Tanzania;2260;Kigoma;Sorghum (Maimu/Unimodal);30;31;16;20,
74;Tanzania;2267;Katavi;Maize (Maimu/Unimodal);30;32;14;20,
74;Tanzania;2267;Katavi;Sorghum (Maimu/Unimodal);30;32;14;20,
74;Tanzania;2269;Mwanza;Maize (Maika/Bimodal);7;9;17;20,
74;Tanzania;2269;Mwanza;Maize (Maimu/Unimodal);29;32;17;20,
74;Tanzania;2269;Mwanza;Maize (Vuli/Bimodal);25;31;2;5,
74;Tanzania;2269;Mwanza;Millet (Maika/Bimodal);7;9;17;20,
74;Tanzania;2269;Mwanza;Sorghum (Maika/Bimodal);7;9;17;20,
74;Tanzania;2269;Mwanza;Sorghum (Maimu/Unimodal);29;32;17;20,
74;Tanzania;2273;Njombe;Maize (Maimu/Unimodal);31;35;15;20,
74;Tanzania;2273;Njombe;Rice (Msimu/Unimodal);34;35;15;20,
74;Tanzania;2273;Njombe;Sorghum (Maimu/Unimodal);31;35;15;20,
74;Tanzania;2274;Pwani;Maize (Maika/Bimodal);6;8;21;24,
74;Tanzania;2274;Pwani;Maize (Maimu/Unimodal);31;33;20;23,
74;Tanzania;2274;Pwani;Maize (Vuli/Bimodal);29;31;1;3,
74;Tanzania;2274;Pwani;Millet (Maika/Bimodal);6;8;21;24,
74;Tanzania;2274;Pwani;Sorghum (Maika/Bimodal);6;8;21;24,
74;Tanzania;2274;Pwani;Sorghum (Maimu/Unimodal);31;33;20;23,
74;Tanzania;2275;Shinyanga;Maize (Maika/Bimodal);7;8;16;18,
74;Tanzania;2275;Shinyanga;Maize (Maimu/Unimodal);29;33;16;19,
74;Tanzania;2275;Shinyanga;Maize (Vuli/Bimodal);29;31;3;5,
74;Tanzania;2275;Shinyanga;Millet (Maika/Bimodal);7;8;16;18,
74;Tanzania;2275;Shinyanga;Sorghum (Maika/Bimodal);7;8;16;18,
74;Tanzania;2275;Shinyanga;Sorghum (Maimu/Unimodal);29;33;16;19,
74;Tanzania;2276;Ruvuma;Maize (Maimu/Unimodal);31;35;18;20,
74;Tanzania;2276;Ruvuma;Rice (Msimu/Unimodal);33;35;18;20,
74;Tanzania;2276;Ruvuma;Sorghum (Maimu/Unimodal);31;35;18;20,
74;Tanzania;2277;Tabora;Maize (Maimu/Unimodal);29;33;15;19,
74;Tanzania;2277;Tabora;Sorghum (Maimu/Unimodal);29;33;15;19,
74;Tanzania;2280;Tanga;Maize (Maika/Bimodal);7;10;19;24,
74;Tanzania;2280;Tanga;Maize (Maimu/Unimodal);31;34;19;21,
74;Tanzania;2280;Tanga;Maize (Vuli/Bimodal);28;31;1;5,
74;Tanzania;2280;Tanga;Millet (Maika/Bimodal);7;10;19;24,
74;Tanzania;2280;Tanga;Sorghum (Maika/Bimodal);7;10;19;24,
74;Tanzania;2280;Tanga;Sorghum (Maimu/Unimodal);31;34;19;21,
74;Tanzania;2307;Mbeya;Maize (Maimu/Unimodal);30;35;13;20,
74;Tanzania;2307;Mbeya;Rice (Msimu/Unimodal);34;35;13;20,
74;Tanzania;2307;Mbeya;Sorghum (Maimu/Unimodal);30;35;13;20,
74;Tanzania;2313;Simiyu;Maize (Maika/Bimodal);7;9;17;20,
74;Tanzania;2313;Simiyu;Maize (Maimu/Unimodal);30;33;14;19,
74;Tanzania;2313;Simiyu;Maize (Vuli/Bimodal);28;30;2;4,
74;Tanzania;2313;Simiyu;Millet (Maika/Bimodal);7;9;17;20,
74;Tanzania;2313;Simiyu;Sorghum (Maika/Bimodal);7;9;17;20,
74;Tanzania;2313;Simiyu;Sorghum (Maimu/Unimodal);30;33;14;19,
74;Tanzania;2319;Arusha;Maize (Maika/Bimodal);7;9;17;23,
74;Tanzania;2319;Arusha;Maize (Maimu/Unimodal);31;33;15;20,
74;Tanzania;2319;Arusha;Maize (Vuli/Bimodal);28;32;2;5,
74;Tanzania;2319;Arusha;Millet (Maika/Bimodal);7;9;17;23,
74;Tanzania;2319;Arusha;Sorghum (Maika/Bimodal);7;9;17;23,
74;Tanzania;2319;Arusha;Sorghum (Maimu/Unimodal);31;33;15;20,
74;Tanzania;2321;Mara;Maize (Maika/Bimodal);7;9;18;20,
74;Tanzania;2321;Mara;Maize (Vuli/Bimodal);25;30;2;4,
74;Tanzania;2321;Mara;Millet (Maika/Bimodal);7;9;18;20,
74;Tanzania;2321;Mara;Sorghum (Maika/Bimodal);7;9;18;20,
74;Tanzania;2322;Morogoro;Maize (Maimu/Unimodal);31;36;17;20,
74;Tanzania;2322;Morogoro;Rice (Msimu/Unimodal);34;36;17;20,
74;Tanzania;2322;Morogoro;Sorghum (Maimu/Unimodal);31;36;17;20,
74;Tanzania;2346;Rukwa;Maize (Maimu/Unimodal);29;34;15;19,
74;Tanzania;2346;Rukwa;Rice (Msimu/Unimodal);33;34;15;19,
74;Tanzania;2346;Rukwa;Sorghum (Maimu/Unimodal);29;34;15;19,
77;Botswana;91;Central;Maize;30;33;14;20,
77;Botswana;91;Central;Millet;30;33;14;20,
77;Botswana;91;Central;Sorghum;32;33;14;20,
77;Botswana;800;Kgatleng;Maize;30;32;15;18,
77;Botswana;800;Kgatleng;Millet;30;32;15;18,
77;Botswana;803;Chobe;Maize;32;2;15;18,
77;Botswana;803;Chobe;Millet;32;36;14;17,
77;Botswana;803;Chobe;Sorghum;34;2;15;18,
77;Botswana;806;Kweneng;Maize;31;34;15;17,
77;Botswana;806;Kweneng;Millet;31;34;15;17,
77;Botswana;806;Kweneng;Sorghum;32;34;15;17,
77;Botswana;808;North East;Maize;31;33;15;17,
77;Botswana;808;North East;Millet;31;33;15;17,
77;Botswana;808;North East;Sorghum;32;33;15;17,
77;Botswana;812;South-East;Maize;31;32;16;18,
77;Botswana;812;South-East;Millet;31;32;16;18,
77;Botswana;812;South-East;Sorghum;32;33;16;18,
77;Botswana;813;Southern;Maize;31;33;14;17,
77;Botswana;813;Southern;Millet;31;33;14;17,
77;Botswana;813;Southern;Sorghum;32;34;14;17,
78;Iraq;1183;Ninewa;Barley;31;36;12;16,
78;Iraq;1183;Ninewa;Wheat;32;36;14;16,
78;Iraq;1190;Diyala;Barley;29;36;11;14,
78;Iraq;1190;Diyala;Wheat;32;36;13;14,
78;Iraq;1192;Erbil;Barley;31;3;13;16,
78;Iraq;1194;Anbar;Barley;29;33;11;13,
78;Iraq;1195;Basrah;Barley;27;34;10;13,
78;Iraq;1196;Kirkuk;Barley;30;2;12;14,
78;Iraq;1196;Kirkuk;Wheat;32;36;13;14,
78;Iraq;1197;Qadissiya;Barley;29;35;10;12,
78;Iraq;1198;Salah al-Din;Barley;29;35;11;14,
78;Iraq;1198;Salah al-Din;Wheat;32;35;13;14,
78;Iraq;1199;Muthanna;Barley;29;34;10;12,
78;Iraq;1200;Dahuk;Barley;33;2;14;16,
78;Iraq;1200;Dahuk;Wheat;33;35;14;16,
78;Iraq;1203;Babil;Barley;27;34;10;13,
78;Iraq;1205;Sulaymaniyah;Barley;31;35;12;16,
78;Iraq;1205;Sulaymaniyah;Wheat;32;35;14;16,
78;Iraq;1206;Wassit;Barley;29;35;11;14,
78;Iraq;1206;Wassit;Wheat;32;35;12;14,
78;Iraq;1208;Baghdad;Barley;29;34;11;14,
78;Iraq;1210;Thi-Qar;Barley;29;35;11;13,
78;Iraq;1216;Missan;Barley;29;35;10;13,
79;Egypt;263;Damietta;Barley;30;33;11;13,
79;Egypt;263;Damietta;Millet;17;18;24;27,
79;Egypt;390;Luxor;Barley;30;36;10;11,
79;Egypt;390;Luxor;Millet;16;17;24;27,
79;Egypt;2302;Giza;Barley;28;33;9;12,
79;Egypt;2302;Giza;Millet;15;18;21;26,
79;Egypt;2302;Giza;Wheat;28;33;9;14,
79;Egypt;2304;Fayoum;Barley;28;33;10;11,
79;Egypt;2304;Fayoum;Millet;16;18;22;27,
79;Egypt;2304;Fayoum;Wheat;27;32;9;11,
79;Egypt;2323;Ismailia;Barley;29;33;10;12,
79;Egypt;2323;Ismailia;Millet;15;18;24;27,
79;Egypt;2323;Ismailia;Wheat;28;33;9;11,
79;Egypt;2324;Alexandria;Barley;29;34;9;12,
79;Egypt;2324;Alexandria;Millet;16;18;23;27,
79;Egypt;2324;Alexandria;Wheat;29;33;10;12,
79;Egypt;2326;Assiut;Barley;30;35;10;12,
79;Egypt;2326;Assiut;Millet;16;19;24;28,
79;Egypt;2326;Assiut;Wheat;27;33;10;11,
79;Egypt;2330;Aswan;Barley;30;35;9;11,
79;Egypt;2330;Aswan;Millet;16;17;26;29,
79;Egypt;2330;Aswan;Wheat;32;36;10;12,
79;Egypt;2332;Behera;Barley;29;34;9;14,
79;Egypt;2332;Behera;Millet;14;19;24;28,
79;Egypt;2333;Beni Suef;Barley;28;33;10;12,
79;Egypt;2333;Beni Suef;Millet;16;18;23;27,
79;Egypt;2333;Beni Suef;Wheat;26;33;10;12,
79;Egypt;2334;Dakahlia;Barley;29;32;10;13,
79;Egypt;2334;Dakahlia;Millet;16;19;24;27,
79;Egypt;2335;Gharbia;Barley;29;33;10;13,
79;Egypt;2335;Gharbia;Millet;16;18;23;27,
79;Egypt;2338;Kafr El-Shikh;Barley;29;34;10;12,
79;Egypt;2338;Kafr El-Shikh;Millet;15;18;23;27,
79;Egypt;2340;Kalyoubia;Barley;29;33;10;13,
79;Egypt;2340;Kalyoubia;Millet;16;18;24;26,
79;Egypt;2341;Matrouh;Barley;30;34;9;11,
79;Egypt;2341;Matrouh;Wheat;31;36;11;13,
79;Egypt;2343;Menia;Barley;29;36;10;12,
79;Egypt;2343;Menia;Millet;15;18;23;29,
79;Egypt;2343;Menia;Wheat;29;34;10;12,
79;Egypt;2344;Menoufia;Barley;28;31;10;13,
79;Egypt;2344;Menoufia;Millet;15;18;23;25,
